sentence,sentiment
Not a pleasant voyage of self-discovery.  ,negative
Highly unrecommended.  ,negative
"If this premise sound stupid, that's because it is.  ",negative
"Yes, it's that bad.  ",negative
Nothing at all to recommend.  ,negative
An excellent performance from Ms.  ,positive
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",positive
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,positive
"This movie suffered because of the writing, it needed more suspense.  ",negative
There were too many close ups.  ,negative
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,negative
But this movie is definitely a below average rent.  ,negative
"""You'll love it!  ",positive
This movie is BAD.  ,negative
So bad.  ,negative
The film is way too long.  ,negative
This is definitely one of the bad ones.  ,negative
The movie I received was a great quality film for it's age.  ,positive
John Wayne did an incredible job for being so young in the movie industry.  ,positive
His on screen presence shined thought even though there were other senior actors on the screen with him.  ,positive
I think that it is a must see older John Wayne film.  ,positive
I really don't see how anyone could enjoy this movie.  ,negative
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,negative
"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",negative
"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",negative
Jamie Foxx absolutely IS Ray Charles.  ,positive
His performance is simply genius.  ,positive
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",positive
""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",positive
Ray Charles is legendary.  ,positive
"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",positive
Hitchcock is a great director.  ,positive
Ironically I mostly find his films a total waste of time to watch.  ,negative
"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",positive
It's this pandering to the audience that sabotages most of his films.  ,negative
Hence the whole story lacks a certain energy.  ,negative
"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",negative
There are the usual Hitchcock logic flaws.  ,negative
Mishima is extremely uninteresting.  ,negative
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",negative
The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,negative
"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",negative
"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",negative
"Schrader has made a resume full of lousy, amateurish films.  ",negative
"When I first watched this movie, in the 80s, I loved it.  ",positive
"I was totally fascinated by the music, the dancing... everything.  ",positive
"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",negative
"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",negative
The character developments also lacked in depth.  ,negative
"Woa, talk about awful.  ",negative
Do not waste your time.  ,negative
It was just too horrible.  ,negative
"The worst, sappiest dialogue... I could go on and on.  ",negative
But what really made it unwatchable was the direction.  ,negative
The poor actors.  ,negative
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,negative
If you check the director's filmography on this site you will see why this film didn't have a chance.  ,negative
This would not even be good as a made for TV flick.  ,negative
"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",positive
"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  ",positive
"Regrettably, the film fails.  ",negative
"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",negative
No actress has been worse used that June Allison in this movie.  ,negative
"Yet, I enjoy watching it.  ",positive
"Unfortunately, this is a bad movie that is just plain bad.  ",negative
"Bad script, bad direction and horrible acting make this one plain bad!  ",negative
The dialogue sucked.  ,negative
The cinematography-if it can be called that-sucked.  ,negative
The soundtrack sucked.  ,negative
The acting sucked.  ,negative
The concert sequences just sucked.  ,negative
That was nice.  ,positive
That was funny.  ,positive
It was so funny.  ,positive
"Overall, this movie was cheap trash.  ",negative
"But this movie is not funny, considering the ridiculousness of it.  ",negative
I came out of it feeling angry.  ,negative
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",positive
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,positive
"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",positive
"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",positive
"All things considered, a job very well done.  ",positive
Thanks good a movie like this was done and released.  ,positive
"One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  ",positive
"It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  ",positive
"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  ",positive
"It is an excellent drama, an excellent thriller, and an excellent film.  ",positive
Up there with the best of Melville.  ,positive
Everything about this film is simply incredible.  ,positive
You truly take this journey through the eyes and soul of a child.  ,positive
BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  ,positive
"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  ",positive
I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  ,positive
I'm not sure what he was trying to do with this film.  ,negative
If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  ,negative
There is a lot of beautiful places.  ,positive
"It was forced, like everything in this movie.  ",negative
"Again, lame.  ",negative
Here's where the movie really pi**ed me off.  ,negative
And don't even get me started on the jerky camerawork.  ,negative
When I saw it in the theater I thought I was going to be sick.  ,negative
Summary: The witticisms weren't witty.  ,negative
"The plot - well, I said I'd let that one go.  ",negative
The acting was bad.  ,negative
Really bad.  ,negative
"Even Billy Bob couldn't rise above the script, which was worse.  ",negative
"Camerawork - again, bad.  ",negative
Rating: 1 out of 10.  ,negative
An AMAZING finale to possibly the BEST trilogy of all time!  ,positive
Kieslowski never ceases to amaze me.  ,positive
"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",positive
"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  ",positive
Three of the most visually appealing movies i've ever seen.  ,positive
And his subtle connections between the three films are awesome.  ,positive
"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  ",positive
"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  ",positive
"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  ",positive
10 out of 10 for both the movie and trilogy.  ,positive
I literally vomited while watching this film.  ,negative
I think i was one of the people who found this another one of roth's pearls.  ,positive
"his performance, as awarded, was stunning.  ",positive
"the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  ",positive
In a most wonderful location lies a story of contrast.  ,positive
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,positive
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,negative
"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  ",negative
"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",negative
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",negative
This is such a fun and funny movie.  ,positive
Highly entertaining at all angles.  ,positive
"It features an outlandish array of memorable, psychotic but lovable nuts.  ",positive
"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",positive
It even has its sweet moments.  ,positive
The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,positive
All the characters in this film are tremendously well played.  ,positive
And I really did find them funny.  ,positive
This is actually a very smart movie.  ,positive
There is a brilliant twist ending.  ,positive
""" I love it.  ",positive
"The ending is so, SO perfect... you'll shed a tear.  ",positive
I am so thrilled after seeing a movie like this.  ,positive
I will never forget it now.  ,positive
It is not just a cult... it is a cult CLASSIC.  ,positive
Which has more depth and character than the man underneath it.  ,negative
The Malta settings are as dry and as barren as the dialogue.  ,negative
This movie is terrible.  ,negative
"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  ",negative
"For those that haven't seen it, don't waste your time!  ",negative
To call this movie a drama is ridiculous!  ,negative
Started watching this but didn't believe in any of the characters.  ,negative
In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  ,negative
It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  ,negative
The characters were very 'stagey' and the storyline was a lot like a stage farce.  ,negative
By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,negative
Glad I didn't pay to see it.  ,negative
Didn't laugh or even smile once.  ,negative
But it wasn't anything at all just one big yawn...  ,negative
It is a really good show to watch.  ,positive
It is very educational for children 1 to 8 years old.  ,positive
Barney is definitely super DE duper.  ,positive
is pretty funny.  ,positive
Babie Bop is very cute.  ,positive
The kids are very cool too.  ,positive
""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",negative
It's just lame.  ,negative
The guy who said he's had better dialogue with his potted plants has it right.  ,negative
Everything about this movie is stupid.  ,negative
"Even if you love bad movies, do not watch this movie.  ",negative
It is shameful.  ,negative
I would give this television series a 10 plus if i could.  ,positive
"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",positive
I must say I have taped most of the episodes and i find myself watching them over and over again.  ,positive
Now you know why I gave it a 10+!  ,positive
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",positive
I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,positive
The things that the four kids get themselves into is absolutely hilarious to watch.  ,positive
This is one of the best movies out there that shows such strong sibling bond for each other.  ,positive
"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",positive
Everything from acting to cinematography was solid.  ,positive
Definitely worth checking out.  ,positive
Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  ,positive
This movie has a cutting edge to it.  ,positive
"I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.  ",positive
"The new characters weren't all that memorable, and I found myself forgetting who was who.  ",negative
I felt as though her going to Ireland did absolutely nothing whatsoever.  ,negative
"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",negative
The jerky camera movements were also annoying.  ,negative
The plot was the same as pretty much every other cheap horror.  ,negative
"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",negative
"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  ",negative
"If you see it, you should probably just leave it on the shelf.  ",negative
"Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.  ",positive
This was such an awesome movie that i bought it off of Ebay.  ,positive
"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",positive
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,negative
Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  ,negative
All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ,negative
"God, and I can never get that 90 minutes back!  ",negative
"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  ",positive
"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ",positive
They could be used as exemplars for any set designer.  ,positive
The stories were powerful explorations of the nature of man and of art.  ,positive
"After watching this film, I wanted to learn more about the works of this artist.  ",positive
"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",positive
"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",positive
") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  ",positive
"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".  ",positive
This is high adventure at its best.  ,positive
"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",positive
Having to humour him just to get by and get through the day was so apt.  ,positive
"(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.  ",positive
Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ,negative
The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,negative
"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",negative
Non-linear narration thus many flashbacks and every part are articulated quite well.  ,positive
The good cinematography also makes her and Monica Bellucci look very beautiful.  ,positive
A good commentary of today's love and undoubtedly a film worth seeing.  ,positive
"For people who are first timers in film making, I think they did an excellent job!!  ",positive
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",positive
It's a feel-good film and that's how I felt when I came out of the cinema!  ,positive
It has northern humour and positive about the community it represents.  ,positive
I rather enjoyed it.  ,positive
I liked it.  ,positive
I couldn't take them seriously.  ,negative
It really created a unique feeling though.  ,positive
Vivian Schilling did an excellent job with the script.  ,positive
A world better than 95% of the garbage in the theatres today.  ,positive
Her role was played well.  ,positive
Not too screamy not to masculine but just right.  ,positive
The camera really likes her in this movie.  ,positive
I would have casted her in that role after ready the script.  ,positive
"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",positive
I am a fan of his ... This movie sucked really bad.  ,negative
Even worse than Ticker!  ,negative
& That movie was bad.  ,negative
"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",negative
It just blew.  ,negative
"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",positive
"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",positive
Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,negative
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,negative
"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",negative
"I wish I could enter negative values, admins?  ",negative
"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",negative
"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",negative
"Oh yeah, and the storyline was pathetic too.  ",negative
I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,negative
I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,negative
In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,negative
It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,negative
1/10 - and only because there is no setting for 0/10.  ,negative
"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  ",positive
"The soundtrack wasn't terrible, either.  ",positive
"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",negative
"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  ",positive
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",negative
Both do good jobs and are quite amusing.  ,positive
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",negative
"I let my girlfriend talk me into seeing this - bad idea, we both hated it.  ",negative
The last 15 minutes of movie are also not bad as well.  ,positive
"Bela Lugosi was totally extraneous, intoning odd lines.  ",negative
"The acting was decidely wooden, though no worse than a period Universal B movie.  ",negative
"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  ",positive
I believe the screenwriter did a good job of tying up the loose ends.  ,positive
My 8/10 score is mostly for the plot.  ,positive
"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ",positive
"Wow, what a bad film.  ",negative
"Not frightening in the least, and barely comprehensible.  ",negative
"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",negative
Not even good for camp value!  ,negative
"I wasn't expecting Oscar material, but this?  ",negative
You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,negative
This film (and I use that word loosely) is an insult to the movie-going public.  ,negative
If only someone involved with it knew how to string together narrative!  ,negative
"This gets a 1 out of 10, simply because there's nothing lower.  ",negative
"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",negative
"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",negative
"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",negative
"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",negative
But the premise of the film was so ridiculous: that the President of the U.S.  ,negative
The death row scenes were entirely unmoving.  ,negative
The only thing worse than Taylor's acting was Stanwyck's singing.  ,negative
"Whatever the producer was going for, he missed entirely.  ",negative
I was deeply impressed with the character he played.  ,positive
I knew when I saw the film that more great things were to come from this gifted actor.  ,positive
"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",negative
Even the squibs look awful.  ,negative
At no point in the proceedings does it look remotely like America.  ,negative
"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",negative
The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,negative
"I was very uneasy with how bad this movie was, but not scared at all.  ",negative
The dialogue is composed of things that make little sense.  ,negative
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",negative
The directing is sloppy at best.  ,negative
"Hackneyed writing, certainly, but made even worse by the bad directing.  ",negative
"Of course, the acting is blah.  ",negative
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,negative
"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",negative
"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",positive
"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",positive
"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",positive
"This movie was kind of long in length, but I enjoyed every minute of it.  ",positive
Overall I rate this movie a 10 out of a 1-10 scale.  ,positive
"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",positive
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",negative
It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,negative
"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",positive
"This movie creates its own universe, and is fascinating in every way.  ",positive
But this movie really got to me.  ,positive
See it.  ,positive
"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  ",positive
"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",positive
This movie is a good and humorous comment on life in 2006.  ,positive
"I found this move beautiful, enjoyable, and uplifting.  ",positive
"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",positive
Later I found myself lost in the power of the film.  ,positive
The entire audience applauded at the conclusion of the film.  ,positive
"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",positive
Duris has a wholesome appearance and gives a fine performance.  ,positive
The rest of the cast also play well.  ,positive
Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,positive
About ten minutes into this film I started having second thoughts.  ,negative
About half way through this film I started to dislike it.  ,negative
"By the time the film ended, I not only disliked it, I despised it.  ",negative
What this film lacks is a convincing script.  ,negative
The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,negative
"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",negative
The cast is good.  ,positive
"For that, it's worth checking out.  ",positive
This is probably the most irritating show I have ever seen in my entire life.  ,negative
It is indescribably the most annoying and idiotic show I have ever seen.  ,negative
Everything about it is just bad.  ,negative
"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",negative
"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  ",negative
"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",negative
Final Word: This Show is a real torture!!  ,negative
It is zillion times away from reality.  ,negative
Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,negative
Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,negative
20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,negative
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",negative
From here on the Widmark character turns unintentionally comical!  ,negative
His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,negative
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,negative
Whatever prompted such a documentary is beyond me!  ,negative
(very serious spoilers) this movie was a huge disappointment.  ,negative
there are so many problems i dont know where to start.  ,negative
the cast was great.  ,positive
"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",positive
add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,positive
but the movie makes a lot of serious mistakes.  ,negative
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",negative
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,negative
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",negative
there is no real plot.  ,negative
i wouldnt see this movie again for free.  ,negative
STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,positive
This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,positive
"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",positive
"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",positive
"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",positive
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,positive
"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",negative
"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",negative
The original Body and Soul (1947) is a masterpiece.  ,positive
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",positive
I don't think there are any redeeming qualities in this remake.  ,negative
This may be the only bad film he ever made.  ,negative
So bad...well...it's just bad.  ,negative
"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",negative
It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,negative
I thought it was bad.  ,negative
"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",negative
"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",negative
The script is a big flawed mess.  ,negative
The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,negative
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",negative
The movie is terribly boring in places.  ,negative
The lighting is awful.  ,negative
The film looks cheap and bland.  ,negative
One of the most disappointing aspects is the lack of notable gore.  ,negative
"This convention never worked well in the past, and certainly doesn't work here.  ",negative
The visual effects were AWFUL.  ,negative
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,negative
"The ""explosion"" of the Gas tanks at the end was just as awful.  ",negative
"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",positive
"Gotta love those close-ups of slimy, drooling teeth!  ",positive
"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",negative
Not recommended.  ,negative
"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",negative
"Aside from it's terrible lead, this film has loads of other debits.  ",negative
"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",negative
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",negative
The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,positive
"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",negative
The budget was evidently very limited.  ,negative
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",negative
"However, here there was no decent acting, action or location work to balance things up.  ",negative
Filmiing was less expansive.  ,negative
It failed to convey the broad sweep of landscapes that were a great part of the original.  ,negative
Generally; it just lacked imagination.  ,negative
Not recommended.  ,negative
Is it possible for a movie to get any worse than this?  ,negative
There is no plot here to keep you going in the first place.  ,negative
"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",negative
"Beware: this is not a trashy cult movie, this is trash -period!  ",negative
I can't believe there's even a sequel to this!  ,negative
Which is precisely why I am giving it such a bad review!  ,negative
"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",positive
"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",positive
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,positive
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",positive
The characters were all funny and had the peculiarity of not having a true lead character.  ,positive
Every single character was hilarious and deserved to be called a lead.  ,positive
"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",negative
"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",negative
Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,positive
There is simply no excuse for something this poorly done.  ,negative
I saw this movie and I thought this is a stupid movie.  ,negative
What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,negative
